шу	134712
шь	239493
ща	223845
ще	884124
щё	19912
щи	540936
щн	41714
щу	65529
щь	25188
ъе	114416
ъя	64450
ыб	115247
ыв	552762
ыг	61603
ыд	76868
ые	878830
ыж	22491
ыз	43633
ыи	7885
ый	873612
ык	122620
ыл	829169
ым	773260
ын	136111
ып	109966
ыр	143384
ыс	366505
ыт	363384
ых	1003687
ыч	91197
ыш	222220
ыщ	6144
ыя	20553
ьб	62475
ьв	15069
ьг	52438
ьд	31358
ье	229001
ьз	116710
ьи	47784
ьк	519655
ьм	131111
ьн	1185471
ьо	9449
ьп	6797
ьс	555897
ьт	127804
ьф	10354
ьц	55530
ьч	34513
ьш	284207
ьщ	8058
ью	238356
ья	176300
эв	10761
эд	11849
эз	6650
эй	9960
эк	142412
эл	69389
эм	25904
эн	44486
эп	25341
эр	33543
эс	22321
эт	1140522
эф	31539
эх	4906
юб	182179
юг	12660
юд	206304
юж	17290
юз	32395
юк	24337
юл	22320
юм	27743
юн	36551
юр	71132
юс	74982
ют	469868
юх	8886
юц	21393
юч	103016
юш	17816
ющ	348512
юю	16123
яб	40581
яв	240098
яг	52846
яд	255296
яе	176507
яж	77250
яз	201526
яи	14173
яй	39718
як	106164
ял	333183
ям	265964
ян	326140
яп	24154
яр	64554
яс	213889
ят	826192
ях	146375
яц	45320
яч	72255
яш	13792
ящ	148840
яю	116793
яя	46318
