аа	8146
аб	646284
ав	1850439
аг	419810
ад	1139097
ае	917165
аё	4261
аж	651599
аз	1810274
аи	151719
ай	382889
ак	2444401
ал	4122610
ам	1870040
ан	3170297
ао	36533
ап	536209
ар	1698166
ас	2213300
ат	2864282
ау	104159
аф	106797
ах	592135
ац	396380
ач	612117
аш	506685
ащ	167434
аэ	13001
аю	618145
ая	1080275
ба	502297
бб	8787
бв	30279
бд	9311
бе	991249
бж	10259
бз	5506
би	498255
бк	61280
бл	516598
бм	22392
бн	201341
бо	1517618
бр	651266
бс	137643
бт	4612
бу	574863
бх	52016
бш	6928
бщ	197330
бъ	120811
бы	1470406
бь	18623
бэ	4705
бю	30515
бя	217984
ва	3485014
вб	6087
вв	38614
вг	28837
вд	140990
ве	2745369
вё	6884
вз	183028
ви	1687298
вк	216570
вл	691221
вм	81166
вн	837650
во	3679002
вп	131078
вр	461063
вс	1325448
вт	213790
ву	416928
вх	25145
вц	21138
вч	32868
вш	291736
вщ	12634
вы	1491179
вь	93451
вя	190874
га	767374
гб	4542
гв	11522
гг	8240
гд	527269
ге	328899
ги	610113
гк	57975
гл	600810
гм	11548
гн	125698
го	4087992
гр	658131
гс	13132
гт	9484
гу	322111
гч	15465
да	2555297
дб	17961
дв	417153
дг	26458
дд	40368
де	2799748
дё	11403
дж	79990
дз	19859
ди	1488226
дк	160034
дл	460217
дм	69025
дн	1039486
до	2157311
дп	101066
др	626853
дс	334671
дт	67583
ду	916890
дх	27720
дц	91529
дч	35448
дш	38910
дъ	19527
ды	377512
дь	224439
дю	12857
дя	185412
еа	125049
еб	577204
ев	1068095
ег	1408718
ед	1935815
ее	701614
её	14850
еж	462909
ез	752248
еи	76545
ей	1321751
ек	993048
ел	3106510
ёл	14113
ем	2338387
ём	18268
ен	5189907
ён	22181
ео	220445
еп	487579
ер	3638393
ёр	12077
ес	2878245
ет	3307969
ёт	25135
еу	55963
еф	90125
ех	356392
ец	207818
еч	616467
еш	434389
ещ	338849
ею	73602
ея	120285
жа	530793
жб	30141
жг	5324
жд	508324
же	1821313
жё	5297
жж	5239
жи	808473
жк	76173
жл	5842
жм	5597
жн	594967
жо	36050
жр	5416
жс	16465
жу	126374
жч	23405
жь	17670
за	2670888
зб	87851
зв	536986
зг	132986
зд	481168
зе	249775
зж	40284
зз	8464
зи	382699
зк	84581
зл	143545
зм	286199
зн	922793
зо	464937
зр	209408
зс	14707
зт	6691
зу	263040
зц	8344
зч	8985
зъ	11159
зы	294875
зь	57888
зю	4980
зя	134750
иа	279618
иб	260858
ив	1340779
иг	359433
ид	780927
ие	1610394
иж	177955
из	1494881
ии	911508
ий	972401
ик	1437934
ил	2335238
им	1749666
ин	2384696
ио	377613
ип	176682
ир	871113
ис	1862616
ит	2612768
иу	19040
иф	81266
их	1142007
иц	494179
ич	1060816
иш	287906
ищ	102239
иэ	4962
ию	321922
ия	1447234
йб	5967
йг	4367
йд	77314
йе	8200
йз	6654
йк	68883
йл	21658
йм	26611
йн	211418
йо	36841
йр	4654
йс	387428
йт	127187
йф	5069
йц	25963
йч	91116
йш	60713
ка	3753269
кв	184716
кг	9016
кд	6015
ке	407683
кж	52258
кз	19700
ки	2061205
кк	21598
кл	446340
км	10423
кн	188660
ко	5117773
кп	9747
кр	943075
кс	269549
кт	725392
ку	1033571
кц	113108
кш	8511
ла	2960226
лб	16436
лв	6960
лг	83676
лд	31814
ле	2925023
лё	14266
лж	158349
лз	11806
ли	3866502
лк	199563
лл	186323
лм	12682
лн	239271
ло	2912925
лп	16383
лр	6775
лс	513645
лт	44343
лу	729318
лх	8211
лч	47264
лш	4801
лы	319477
ль	2819650
лю	598858
ля	1073751
ма	1765557
мб	48137
мв	17584
мг	16757
ме	2346193
ми	1914722
мк	73147
мл	128034
мм	119473
мн	705437
мо	2122362
мп	189670
мр	22321
мс	97066
мт	4402
му	1051209
мф	11330
мц	17255
мч	17269
мы	724184
мь	59128
мэ	11015
мя	243924
на	5928622
нб	9457
нв	39510
нг	121766
нд	336677
не	4805426
нё	8525
нж	15854
нз	29051
ни	5157969
нк	374477
нн	1897247
но	6436135
нп	6087
нр	39895
нс	521114
нт	806817
ну	1156929
нф	79962
нх	7691
нц	273297
нч	99327
нш	9961
нщ	55262
ны	2714057
нь	537143
нэ	4347
ню	80682
ня	768863
оа	22883
